iter	Passed	Remaining
404	8251	12121
405	8270	12100
406	8289	12077
407	8306	12052
408	8325	12030
409	8344	12008
410	8362	11984
411	8380	11960
412	8399	11938
413	8419	11917
414	8441	11900
415	8460	11877
416	8479	11854
417	8497	11831
418	8515	11808
419	8536	11788
420	8554	11764
421	8573	11743
422	8593	11721
423	8612	11699
424	8631	11677
425	8648	11653
426	8665	11628
427	8682	11604
428	8699	11579
429	8717	11555
430	8734	11531
431	8753	11509
432	8773	11488
433	8791	11465
434	8808	11441
435	8829	11421
436	8849	11401
437	8870	11381
438	8889	11360
439	8912	11342
440	8932	11322
441	8952	11301
442	8970	11278
443	8988	11256
444	9007	11233
445	9025	11211
446	9045	11189
447	9063	11167
448	9084	11147
449	9104	11127
450	9124	11106
451	9143	11085
452	9165	11067
453	9184	11045
454	9202	11022
455	9219	10999
456	9239	10978
457	9260	10958
458	9278	10935
459	9298	10915
460	9318	10895
461	9339	10876
462	9363	10860
463	9380	10835
464	9399	10814
465	9419	10793
466	9438	10772
467	9458	10751
468	9476	10728
469	9494	10706
470	9512	10684
471	9532	10663
472	9551	10641
473	9570	10620
474	9590	10600
475	9608	10577
476	9626	10554
477	9646	10534
478	9672	10520
479	9692	10500
480	9711	10479
481	9732	10459
482	9751	10437
483	9769	10415
484	9788	10393
485	9808	10373
486	9828	10352
487	9847	10332
488	9866	10310
489	9885	10288
490	9904	10267
491	9923	10246
492	9944	10226
493	9963	10205
494	9982	10184
495	10003	10165
496	10024	10145
497	10043	10123
498	10062	10103
499	10081	10081
500	10102	10062
501	10121	10040
502	10156	10035
503	10176	10015
504	10196	9994
505	10216	9974
506	10236	9953
507	10254	9931
508	10273	9909
509	10290	9887
510	10309	9865
511	10329	9845
512	10350	9826
513	10372	9807
514	10392	9786
515	10411	9765
516	10431	9745
517	10451	9725
518	10471	9704
519	10489	9682
520	10508	9661
521	10526	9639
522	10547	9619
523	10566	9598
524	10584	9576
525	10603	9555
526	10625	9536
527	10646	9516
528	10664	9494
529	10684	9474
530	10701	9452
531	10720	9430
532	10738	9408
533	10756	9386
534	10776	9366
535	10795	9345
536	10812	9322
537	10831	9301
538	10848	9278
539	10867	9257
540	10885	9235
541	10902	9213
542	10920	9191
543	10937	9168
544	10954	9145
545	10973	9124
546	10993	9104
547	11012	9083
548	11030	9061
549	11049	9040
550	11069	9020
551	11089	9000
552	11108	8979
553	11128	8959
554	11149	8939
555	11169	8919
556	11188	8898
557	11209	8879
558	11227	8857
559	11245	8835
560	11263	8814
561	11281	8792
562	11299	8770
563	11316	8748
564	11335	8727
565	11352	8705
566	11375	8687
567	11394	8666
568	11413	8645
569	11430	8623
570	11448	8601
571	11467	8580
572	11485	8559
573	11504	8538
574	11521	8516
575	11539	8494
576	11556	8472
577	11576	8451
578	11594	8430
579	11611	8408
580	11631	8388
581	11649	8366
582	11670	8347
583	11688	8326
584	11708	8305
585	11725	8284
586	11747	8265
587	11767	8244
588	11785	8223
589	11804	8202
590	11823	8182
591	11842	8161
592	11862	8141
593	11880	8120
594	11897	8097
595	11914	8076
596	11931	8054
597	11951	8034
598	11969	8012
599	11987	7991
600	12006	7971
601	12024	7949
602	12042	7928
603	12066	7911
604	12086	7891
605	12105	7870
606	12123	7849
607	12142	7828
608	12163	7809
609	12181	7788
610	12201	7768
611	12220	7747
612	12240	7727
613	12260	7707
614	12281	7688
615	12302	7669
616	12321	7648
617	12339	7627
618	12360	7608
619	12378	7586
620	12398	7566
621	12416	7545
622	12434	7524
623	12453	7503
624	12471	7482
625	12488	7461
626	12506	7440
627	12525	7419
628	12544	7398
629	12564	7378
630	12582	7358
631	12601	7337
632	12619	7316
633	12636	7294
634	12653	7273
635	12670	7251
636	12686	7229
637	12704	7208
638	12722	7187
639	12742	7167
640	12761	7147
641	12781	7127
642	12799	7106
643	12817	7085
644	12835	7064
645	12853	7043
646	12871	7022
647	12889	7001
648	12909	6981
649	12926	6960
650	12945	6939
651	12963	6919
652	12983	6899
653	13001	6878
654	13019	6857
655	13037	6836
656	13054	6815
657	13073	6795
658	13093	6775
659	13114	6755
660	13133	6735
661	13152	6715
662	13170	6694
663	13187	6673
664	13206	6652
665	13226	6633
666	13245	6612
667	13265	6593
668	13285	6573
669	13305	6553
670	13323	6532
671	13341	6511
672	13361	6492
673	13380	6472
674	13398	6451
675	13415	6430
676	13435	6409
677	13453	6389
678	13475	6370
679	13497	6351
680	13518	6332
681	13537	6312
682	13557	6292
683	13575	6271
684	13593	6251
685	13611	6230
686	13629	6209
687	13647	6188
688	13665	6168
689	13682	6147
690	13702	6127
691	13719	6106
692	13737	6085
693	13756	6065
694	13773	6044
695	13794	6025
696	13816	6006
697	13845	5990
698	13864	5970
699	13888	5952
700	13912	5934
701	13944	5919
702	13968	5901
703	13992	5883
704	14012	5863
705	14031	5843
706	14051	5823
707	14069	5802
708	14090	5783
709	14110	5763
710	14130	5743
711	14150	5723
712	14174	5705
713	14193	5685
714	14213	5665
715	14234	5645
716	14253	5625
717	14274	5606
718	14293	5586
719	14313	5566
720	14334	5547
721	14357	5528
722	14377	5508
723	14395	5487
724	14414	5467
725	14432	5446
726	14450	5426
727	14469	5406
728	14488	5386
729	14505	5365
730	14523	5344
731	14541	5324
732	14560	5303
733	14580	5283
734	14600	5264
735	14620	5244
736	14639	5224
737	14657	5203
738	14675	5183
739	14695	5163
740	14715	5143
741	14737	5124
742	14759	5105
743	14779	5085
744	14802	5066
745	14823	5047
746	14844	5027
747	14864	5007
748	14885	4988
749	14906	4968
750	14928	4949
751	14948	4929
752	14966	4909
753	14985	4889
754	15008	4870
755	15028	4850
756	15048	4830
757	15068	4810
758	15089	4791
759	15111	4772
760	15134	4753
761	15156	4734
762	15179	4714
763	15199	4695
764	15221	4675
765	15242	4656
766	15262	4636
767	15282	4616
768	15301	4596
769	15321	4576
770	15338	4555
771	15358	4535
772	15376	4515
773	15397	4495
774	15416	4475
775	15435	4455
776	15453	4435
777	15471	4414
778	15488	4394
779	15512	4375
780	15533	4355
781	15557	4337
782	15578	4317
783	15599	4297
784	15619	4277
785	15640	4258
786	15660	4238
787	15680	4218
788	15699	4198
789	15717	4177
790	15735	4157
791	15752	4137
792	15769	4116
793	15786	4095
794	15804	4075
795	15822	4055
796	15839	4034
797	15859	4014
798	15876	3994
799	15895	3973
800	15913	3953
801	15932	3933
802	15950	3913
803	15970	3893
804	15988	3873
805	16007	3852
806	16025	3832
807	16044	3812
808	16062	3792
809	16079	3771
810	16101	3752
811	16121	3732
812	16141	3712
813	16161	3692
814	16181	3673
815	16202	3653
816	16221	3633
817	16243	3614
818	16262	3594
819	16281	3574
820	16300	3553
821	16318	3533
822	16336	3513
823	16355	3493
824	16374	3473
825	16392	3453
826	16409	3432
827	16429	3412
828	16447	3392
829	16466	3372
830	16483	3352
831	16502	3332
832	16519	3311
833	16537	3291
834	16555	3271
835	16574	3251
836	16591	3231
837	16608	3210
838	16628	3190
839	16647	3170
840	16666	3151
841	16684	3130
842	16701	3110
843	16719	3090
844	16736	3070
845	16754	3049
846	16771	3029
847	16790	3009
848	16808	2989
849	16825	2969
850	16845	2949
851	16866	2929
852	16886	2910
853	16908	2890
854	16928	2870
855	16947	2850
856	16968	2831
857	16988	2811
858	17008	2791
859	17026	2771
860	17045	2751
861	17064	2731
862	17083	2711
863	17101	2691
864	17118	2671
865	17136	2651
866	17153	2631
867	17173	2611
868	17191	2591
869	17208	2571
870	17225	2551
871	17243	2531
872	17259	2510
873	17277	2490
874	17295	2470
875	17313	2450
876	17330	2430
877	17348	2410
878	17366	2390
879	17383	2370
880	17401	2350
881	17420	2330
882	17441	2311
883	17461	2291
884	17480	2271
885	17500	2251
886	17520	2232
887	17540	2212
888	17559	2192
889	17579	2172
890	17598	2152
891	17618	2133
892	17635	2113
893	17654	2093
894	17675	2073
895	17696	2054
896	17714	2034
897	17733	2014
898	17753	1994
899	17773	1974
900	17794	1955
901	17815	1935
902	17835	1915
903	17856	1896
904	17881	1877
905	17904	1857
906	17924	1837
907	17944	1818
908	17965	1798
909	17986	1778
910	18004	1758
911	18022	1739
912	18043	1719
913	18061	1699
914	18083	1679
915	18105	1660
916	18126	1640
917	18147	1621
918	18169	1601
919	18191	1581
920	18212	1562
921	18233	1542
922	18251	1522
923	18269	1502
924	18288	1482
925	18310	1463
926	18328	1443
927	18347	1423
928	18365	1403
929	18383	1383
930	18403	1363
931	18421	1344
932	18440	1324
933	18458	1304
934	18476	1284
935	18494	1264
936	18511	1244
937	18528	1224
938	18546	1204
939	18567	1185
940	18588	1165
941	18609	1145
942	18628	1125
943	18647	1106
944	18668	1086
945	18690	1066
946	18710	1047
947	18729	1027
948	18748	1007
949	18769	987
950	18787	968
951	18807	948
952	18826	928
953	18844	908
954	18862	888
955	18882	869
956	18902	849
957	18919	829
958	18937	809
959	18969	790
960	18991	770
961	19015	751
962	19043	731
963	19082	712
964	19122	693
965	19146	673
966	19166	654
967	19186	634
968	19206	614
969	19224	594
970	19247	574
971	19273	555
972	19295	535
973	19318	515
974	19349	496
975	19371	476
976	19392	456
977	19412	436
978	19431	416
979	19451	396
980	19471	377
981	19491	357
982	19510	337
983	19529	317
984	19547	297
985	19564	277
986	19584	257
987	19604	238
988	19638	218
989	19660	198
990	19679	178
991	19708	158
992	19729	139
993	19750	119
994	19771	99
995	19791	79
996	19812	59
997	19829	39
998	19847	19
999	19864	0
