iter	RMSE
0	0.08337523519
1	0.08070212553
2	0.0782307152
3	0.07601427247
4	0.07381741082
5	0.07186106598
6	0.06994564761
7	0.06817360724
8	0.0665976355
9	0.06509805525
10	0.06374693986
11	0.06250693505
12	0.06128149151
13	0.06020490517
14	0.059154614
15	0.05825399431
16	0.05741186117
17	0.0566336315
18	0.05591895263
19	0.05530399374
20	0.05465944341
21	0.0540938555
22	0.0535657785
23	0.05311383819
24	0.05265921044
25	0.05227181145
26	0.05189721743
27	0.05155007614
28	0.05124708014
29	0.05096041505
30	0.0507190031
31	0.05047027384
32	0.05023949782
33	0.05004248918
34	0.04985471893
35	0.04968051215
36	0.04952847683
37	0.04939178817
38	0.04926612921
39	0.0491504869
40	0.04904817597
41	0.04895644284
42	0.04885106934
43	0.0487273773
44	0.04863862776
45	0.04856006946
46	0.0484564716
47	0.04838374852
48	0.04830791773
49	0.04825156884
50	0.04819648265
51	0.04813897205
52	0.04808976063
53	0.04803451914
54	0.04798367482
55	0.04794142139
56	0.04790357417
57	0.04787029415
58	0.04781828521
59	0.04777168253
60	0.04773269664
61	0.04769539271
62	0.04765828974
63	0.04758985016
64	0.0475376293
65	0.04750016942
66	0.04746608288
67	0.04742536381
68	0.04738722639
69	0.0473695154
70	0.04734559879
71	0.0473240526
72	0.04728932467
73	0.04724725853
74	0.04721215494
75	0.047182825
76	0.04715805317
77	0.0471319965
78	0.04708160115
79	0.04705097066
80	0.04702280636
81	0.04698563414
82	0.04697073982
83	0.04694622061
84	0.04692735369
85	0.04691520058
86	0.04689980969
87	0.04685055439
88	0.04683892912
89	0.0468260575
90	0.04678229025
91	0.04674065331
92	0.04673341249
93	0.04671164281
94	0.04666348491
95	0.04664827207
96	0.04663648714
97	0.0466255861
98	0.04660292923
99	0.04657526598
100	0.04656479651
101	0.04655633261
102	0.04654522631
103	0.0465344593
104	0.04648856577
105	0.04647006679
106	0.0464648133
107	0.04645394005
108	0.04641139163
109	0.04639222862
110	0.04637535731
111	0.04636218712
112	0.0463258547
113	0.04629395966
114	0.04628467251
115	0.04627411461
116	0.04625878931
117	0.04624130983
118	0.04620791945
119	0.04619684251
120	0.04618756835
121	0.04617521474
122	0.04616341943
123	0.04615390751
124	0.04614434811
125	0.0461313649
126	0.04610460099
127	0.04606475367
128	0.04605776054
129	0.04604871477
130	0.04604022599
131	0.04601376004
132	0.04599523316
133	0.04598939108
134	0.04597756012
135	0.04597284902
136	0.04596467624
137	0.04595025499
138	0.0459419753
139	0.04591089065
140	0.04590075321
141	0.04588341882
142	0.04587788954
143	0.04587008831
144	0.045847953
145	0.04583556543
146	0.04582419493
147	0.04580353257
148	0.04579509714
149	0.04578054412
150	0.04576560071
151	0.04575971318
152	0.04575131467
153	0.04574132098
154	0.04573597965
155	0.04572382998
156	0.04570122859
157	0.04569007267
158	0.04568247771
159	0.04567419039
160	0.04566102196
161	0.04565697238
162	0.04563045507
163	0.04562634245
164	0.04561893786
165	0.04560565128
166	0.04559316635
167	0.04557218487
168	0.04555498934
169	0.045534899
170	0.04551498399
171	0.04550599717
172	0.04549957699
173	0.04548600429
174	0.0454681849
175	0.04544437122
176	0.04543117966
177	0.04541948982
178	0.04541281681
179	0.04540109422
180	0.04538167407
181	0.04536547662
182	0.04534624566
183	0.04533456064
184	0.04532485325
185	0.04531559525
186	0.04530597732
187	0.04529315225
188	0.04527848568
189	0.04526125903
190	0.04524928653
191	0.04524609457
192	0.04524235021
193	0.04524016248
194	0.04523668331
195	0.04523306872
196	0.04521926265
197	0.04521378842
198	0.04520656624
199	0.04519689329
200	0.0451848894
201	0.04517516848
202	0.04516252749
203	0.04514887419
204	0.04514803948
205	0.04514014826
206	0.04513429061
207	0.04511747544
208	0.04510731244
209	0.04509776995
210	0.04508872897
211	0.04508243357
212	0.04507915616
213	0.04507290677
214	0.04505686024
215	0.04504837066
216	0.045041694
217	0.04502824701
218	0.04502207071
219	0.04501865101
220	0.04500270393
221	0.04499869724
222	0.04498461779
223	0.04498134801
224	0.04497133904
225	0.04495954802
226	0.04494999408
227	0.04494141737
228	0.04493676698
229	0.04492842547
230	0.04491244652
231	0.04490488446
232	0.04489980945
233	0.04489371945
234	0.0448854603
235	0.04488194073
236	0.04487431326
237	0.04486840454
238	0.04485883487
239	0.0448518409
240	0.04484052686
241	0.04483874451
242	0.04482993855
243	0.044821655
244	0.04481371111
245	0.04481090106
246	0.04480421761
247	0.04479815527
248	0.04478399334
249	0.0447789077
250	0.04477551823
251	0.04477166332
252	0.04476429727
253	0.04475390313
254	0.04474278154
255	0.04471343915
256	0.04471147576
257	0.04470981626
258	0.0447072922
259	0.04469774865
260	0.04469374365
261	0.04467909003
262	0.04467294074
263	0.04466389844
264	0.04465715061
265	0.0446506599
266	0.04464642918
267	0.04463915119
268	0.04463467666
269	0.04463094239
270	0.04462545188
271	0.0446224606
272	0.04462008979
273	0.04460805285
274	0.0446019311
275	0.04459353481
276	0.04458805691
277	0.04458337127
278	0.0445716229
279	0.04456805728
280	0.04456201945
281	0.04454928634
282	0.04453903268
283	0.04453747736
284	0.04453264657
285	0.04452675017
286	0.04452035129
287	0.04450872805
288	0.04450618996
289	0.04449642497
290	0.04447911885
291	0.04447384257
292	0.04447128805
293	0.04446263108
294	0.04445414299
295	0.04444994871
296	0.04444602425
297	0.04444061636
298	0.04443623784
299	0.04443468818
